调用链接,模型,输入token,输出token,总token,耗时,时间
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,2165,4711,54.72151494026184,2026-03-30 10:59:09
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,2546,2874,5420,71.82434415817261,2026-03-30 11:00:21
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5289,1997,7286,42.523059368133545,2026-03-30 11:01:03
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4980,1846,6826,44.920671224594116,2026-03-30 11:01:58
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,4763,1868,6631,46.783074140548706,2026-03-30 11:02:46
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,955,95,1050,2.607858419418335,2026-03-30 11:02:48
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,8846,1820,10666,47.87050485610962,2026-03-30 11:04:36
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,6440,1518,7958,35.796669244766235,2026-03-30 11:05:12
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,12036,2264,14300,55.34864640235901,2026-03-30 11:06:07
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,21029,1623,22652,20.90685725212097,2026-03-30 11:06:28
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,7344,807,8151,21.81786584854126,2026-03-30 11:06:50
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,49085,1154,50239,21.968311548233032,2026-03-30 11:07:12
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,29353,1383,30736,25.647287845611572,2026-03-30 11:07:37
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,72122,1211,73333,25.194740295410156,2026-03-30 11:08:03
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,114688,29,114717,25.89212203025818,2026-03-30 11:08:29
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,56338,679,57017,19.09057879447937,2026-03-30 11:08:48
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,81297,357,81654,19.16141104698181,2026-03-30 11:09:07
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,114688,405,115093,31.26159143447876,2026-03-30 11:09:44
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,114688,141,114829,27.32094144821167,2026-03-30 11:10:12
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,37528,810,38338,13.341490507125854,2026-03-30 11:10:25
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,114688,12496,127184,174.1834876537323,2026-03-30 11:13:19
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,35201,812,36013,12.686331510543823,2026-03-30 11:13:32
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,28709,1451,30160,16.23051381111145,2026-03-30 11:13:48
https://open.bigmodel.cn/api/paas/v4/,GLM-4-Flash-250414,5388,5198,10586,124.66064834594727,2026-03-30 11:15:53
https://api.minimaxi.com/v1,MiniMax-M2.7,2414,2227,4641,50.213101625442505,2026-03-30 12:55:41
https://api.minimaxi.com/v1,MiniMax-M2.7,2414,4020,6434,78.93776345252991,2026-03-30 12:57:00
https://api.minimaxi.com/v1,MiniMax-M2.7,4248,2166,6414,53.12855052947998,2026-03-30 12:57:53
https://api.minimaxi.com/v1,MiniMax-M2.7,4766,2386,7152,56.6761314868927,2026-03-30 12:59:07
https://api.minimaxi.com/v1,MiniMax-M2.7,4520,2404,6924,54.05813694000244,2026-03-30 13:00:01
https://api.minimaxi.com/v1,MiniMax-M2.7,3002,1966,4968,43.985167264938354,2026-03-30 13:00:45
https://api.minimaxi.com/v1,MiniMax-M2.7,6704,3956,10660,125.87017488479614,2026-03-30 13:04:18
https://api.minimaxi.com/v1,MiniMax-M2.7,6029,742,6771,22.059885263442993,2026-03-30 13:04:40
https://api.minimaxi.com/v1,MiniMax-M2.7,7433,1140,8573,32.98002791404724,2026-03-30 13:05:13
https://api.minimaxi.com/v1,MiniMax-M2.7,17488,1040,18528,30.128702878952026,2026-03-30 13:05:43
https://api.minimaxi.com/v1,MiniMax-M2.7,8593,696,9289,21.27928113937378,2026-03-30 13:06:04
https://api.minimaxi.com/v1,MiniMax-M2.7,13344,1465,14809,45.15061068534851,2026-03-30 13:06:50
https://api.minimaxi.com/v1,MiniMax-M2.7,29569,2987,32556,90.42513751983643,2026-03-30 13:08:20
https://api.minimaxi.com/v1,MiniMax-M2.7,32106,730,32836,21.278942346572876,2026-03-30 13:08:41
https://api.minimaxi.com/v1,MiniMax-M2.7,34593,1550,36143,40.361711740493774,2026-03-30 13:09:22
https://api.minimaxi.com/v1,MiniMax-M2.7,37938,2603,40541,74.35417675971985,2026-03-30 13:10:36
https://api.minimaxi.com/v1,MiniMax-M2.7,76479,2923,79402,72.76803278923035,2026-03-30 13:11:49
https://api.minimaxi.com/v1,MiniMax-M2.7,74671,2619,77290,71.16918206214905,2026-03-30 13:13:28
https://api.minimaxi.com/v1,MiniMax-M2.7,106711,1737,108448,53.707181215286255,2026-03-30 13:14:22
https://api.minimaxi.com/v1,MiniMax-M2.7,116900,1310,118210,36.89537525177002,2026-03-30 13:14:59
https://api.minimaxi.com/v1,MiniMax-M2.7,119693,1923,121616,51.088326930999756,2026-03-30 13:15:50
