id,评论人,评论人等级,评分,评论内容,评论时间
1292,萧力争,专家,9.3,这款茶优点是原料级别高、芽叶肥壮显毫。***松紧合适，香气浓郁且带有良好的花香、滋味浓厚较爽、回甘。缺点是叶底略短碎。总体上是款品质较高的普洱茶。,2015-11-24
1292,木茗而来,达人,8.8,干茶芽头肥壮，带白毫，带有淡淡的果香。茶汤金黄透亮，滋味浓、爽滑鲜甜，香气带有花蜜香，滋味浓厚，化开稍慢，但是生津持久，叶底也较为匀整，茶质很好。,2015-11-17
1292,福的,,9.4,斗记的这款金斗是一款有口皆碑好茶。几乎没有缺点。饮后心情愉悦且回味无穷。真是好茶自己会说话。,2018-10-11
1292,茶一说,,10.0,茶汤为非常漂亮的金黄色，透亮度高。,2018-09-25
1292,茶由,,10.0,汤水中的蜜香同样显著，有一定苦和微涩，苦迅速化开消失,2018-09-25
1292,茶信,,9.0,茶汤为非常漂亮的金黄色，透亮度高,2018-09-25
1292,浅笑╯季末╰╮,,9.0,汤水中的蜜香同样显著，有一定苦和微涩，苦迅速化开消失,2018-09-24
1292,　　　雨天　,,9.0,汤水甜润度高，汤水中的蜜香同样显著,2018-09-24
1292,⌒呐一抹浅笑、倾国倾城,,9.0,汤浅金色，明亮。,2018-09-24
1292,器之魂,,9.2,作为斗记里上大玉金，金级别的茶，确实有优秀的地方，在保留着斗记普洱茶的基本特征的同时，茶汤更加馥郁清香，带有层次明显的体验，滋味更加舒服顺滑，耐泡度高~~值得一试。,2018-09-13
1292,白睿,,9.0,茶汤滋味醇厚，香气、口感随着冲泡，每泡茶汤、回味之中有明显的层次感，茶耐冲泡，不错的一款生普。,2018-09-12
1292,铁风筝筝,,9.3,很好喝的茶，好的工艺，原料选料精良，拼配技艺高超，有很大的后期转化空间,2018-09-11
1292,别急,,9.0,干茶香气浓郁高扬。汤色金黄，剔透，纯厚顺滑甜度高，喉韵明显 ，口感协调均衡，尾韵悠长。五年茶，已经转化的很不错了，期待更好表现,2018-09-11
1292,飞舞的鱼,,9.2,茶汤清透 滋味鲜爽醇润，苦重涩轻有力度，能化开，生津回甘好，香气富有变化，叶底稍有花杂，拼配痕迹明显，,2018-09-11
1292,墨者睿智,,8.1,用紫砂壶冲泡，水温95度左右，干茶有果蜜香，叶片肥壮。第一泡，茶汤入口有一定涩味显露，口中有甜香感，两颊生津回甘，第二三泡，入口口中绵滑有甜感，滋味饱满丰富，口感协调。四五泡之后汤水香气上扬，汤质金黄透亮；茶汤入口顺滑舒服，微涩，但汤水香气在口喝完嘴里甜度高，令人愉悦,2018-09-11
1292,守望角,,8.8,香气浓郁悠扬，富含变化，且持久。 滋味浓，丰富有层次，既有鲜活、强劲的外在感染力.饮后整个口腔内清凉感显著，较强,2018-09-11
1292,zhupig,,9.2,汤色透亮，香气浓郁持久，滋味浓郁，回甘生津快！,2018-09-11
1292,q2017,,9.2,香气浓郁持久，滋味浓，丰富有层次，回甘生津快！,2018-09-11
1292,太阳的后裔,,8.0,泡来喝了下刚开始的时候味道有点微微的涩味儿，不过生津很快，回甘也很持久，三泡到七泡茶汤颜色都没有什么变化，还是一款耐泡的茶，香气也是很持久。,2016-06-01
1292,小吾,,8.0,入口第一感觉，比较涩。。。。但是回甘很好，生津很快，茶叶还是很耐泡的，到第十泡都还有余香。香气嘛，还是不错，很高。汤色金黄，还行。,2016-05-31
1292,茶悟清心,,8.9,干茶紧实油润，色泽青褐，芽叶肥壮，有芽头，汤色黄亮，香气高扬甜花香，茶汤滋味醇和，协调性好，有清凉感，回甘生津好，汤质绵柔水甜。叶底细嫩，黄绿明亮，油润有光泽。,2016-01-28
1292,llyshine,,8.8,前段时间活动送礼一点这个茶，其他的不说持久的生津，清凉感。还有透亮的汤色，舒服的口感。喜欢,2015-11-12
1292,木秀于林,,8.7,口感非常好的一款茶叶，滋味浓厚，香气高长,2015-10-26
1293,萧力争,专家,9.3,这款茶优点是原料嫩度级别高、茶芽肥嫩显毫，***松紧合适。香气浓郁较持久，滋味较浓爽。缺点叶底匀整度稍差。总体上来说是款原料好品质优的普洱茶。,2015-11-24
1293,marko,达人,8.9,年轻而有活力的一款生普。干茶香气纯正，清新而有甜味。入水后，香味开始朝熟果香的方向发展，但依然是以清新的甜香为主。入口苦涩，有一定的冲击力，但很快转为回甘。十泡过后，苦涩相对减弱，但甜味依旧，感觉很柔和。,2016-09-23
1293,木茗而来,达人,8.9,干茶具备甜美的果香气。饼面完整，叶片黑褐油润，芽头肥壮，几乎全部转为浅金色。茶汤金黄，明亮度高。茶汤滋味浓，生津回甘快速产生。整体饱满有劲，甜花蜜香深入到喉咙，口感滋味丰富，口腔内回甘生津不断，清凉感明显，整体香气滋味带来饱满鲜活的愉悦感,2015-11-17
1293,c2017,,9.2,汤色透亮，香气蜜香果香等，口齿留香好，回甘迅速！,2018-10-24
1293,苗雨,,9.1,斗记的13年金斗，茶气足，口感丰富，有花香，蜜甜，饱满的韵感，一个茶的好坏，我个人觉得在于他的茶汤足够丰富（苦和涩并不是缺点），然后韵味在口腔中层层铺展开，能够融化的感觉，不堆积不好的缺点，比如苦涩。这样的就是好茶。,2018-09-30
1293,无茶心慌,,9.0,茶汤金黄明亮干净，入口香甜，满口留香，回甘迅速持久，香气在口腔停留时间长，很舒服，叶底稍有花杂。,2018-09-27
1293,王启明,,9.1,仓储正宗，茶气充足，蜜甜香，花果香能够充分体现出来，回味明显，润喉，回甘生津强烈，很好喝的一个生普茶。,2018-09-26
1293,苦思茗想,,9.2,干茶条索清晰，有金毫，茶汤金黄油亮，香气饱满，茶汤清润顺滑，鲜爽，回甘生津明显。,2018-09-26
1293,佑右,,9.0,斗记的这款2013年金斗，香气滋味虽然强烈但是有入口就化的感觉，舒适度好，并且回味起来也有很好的体验！,2018-09-25
1293,一年年,,10.0,茶汤浅金色，明亮度高。 香气花蜜香显著,2018-09-25
1293,小猫6886,,9.0,干茶香气纯正，清新而有甜味,2017-05-28
1293,miroslav,,9.0,干茶有花香，有甜香，让人闻着很舒服。泡开以后，前几泡喝起来苦味还是比较重的，大概到了第四第五泡的时候，逐渐温柔起来，苦涩和甘甜达到了一个比较平衡的状态。相对来说，茶还是比较新，乃至于香气是清新型为主，要是再放个几年的话，应该会有陈香的感觉。,2016-08-31
1293,learn,,8.7,迷人的兰花香，隐隐约约，从杯底沁出。一杯入口，半是苦，半是甜，像是涩，像是清，只觉口中滋味饱满，好似一壶乾坤瞬间从山林深处化到了腹中，悠然见天地。,2016-08-27
1293,茶悟清心,,9.0,干茶黑褐油润，芽头肥壮，香气甜花蜜香。茶汤金黄明亮，茶汤滋味饱满鲜活，生津回甘快，清凉感明显，叶底柔软肥厚。,2016-01-28
1293,木秀于林,,8.5,茶汤浓稠油亮，口感醇厚回甘，香气果香带花香,2015-10-26
1040,金寿珍,专家,8.8,这款茶优点是原料较嫩，干茶有毫，无明显缺点。总体上说这款茶外形和内质都是正常的，其中的香气，初闻时很高爽。,2015-02-13
1040,青衫k,达人,8.0,汤色金黄，明亮度高，香气清新，滋味鲜爽，回甘生津非常快。杯底有非常纯净舒服的淡淡花香气息。,2017-03-09
1040,细雨幽兰,达人,9.0,一款优质生普，整体选料等级高，香气饱满，前期略略有烟味，滋味立体有层次感。内质丰富，鲜爽度，甜度均高，苦度也高能迅速化开，耐泡度比较高。,2016-09-20
1040,cqyann,达人,8.0,醇和鲜爽，味甘美。,2015-02-13
1040,山茶人者,,9.8,汤色金黄，明亮度高。香气呈现明显的“暖色调”，直接喝到的香气类似于金秋时节接受到充足日光的谷物香气，温暖和煦。汤水软而有劲道。苦涩刺激较低，滋味鲜爽度高，回甘生津非常快。杯底有非常纯净舒服的淡淡花香气息。,2018-05-29
1040,源泽,,8.4,还不错呀！,2016-12-05
1040,花木先森,,8.7,干茶条索清晰，汤内质丰富有苦回甘快，有涩但生津快，香气舒服，很不错的一款茶,2016-10-25
1040,果子大大--茶语,,8.0,汤水柔。内质丰富，鲜爽度高，略苦，有回甘，协调度非常好，耐泡度高。有非常不错的品饮价值。,2016-09-09
1040,茶悟清心,,8.5,条索松紧适中，芽叶肥厚，显银色芽毫。茶汤橙黄明亮，香气花蜜香，茶汤滋味，鲜醇甘洌，茶韵绵长。叶底叶张肥大，叶质柔嫩有弹性。,2016-03-30
1040,品茶仁,,8.7,干茶看起来就已经有了让人忍不住想喝的冲动，汤色明亮，入口霸道但又让人很舒服，就是销显苦涩，回甘快，是款不错的好茶,2015-09-21
1040,涤尘子,,8.0,苦涩刺激较低，滋味鲜爽度高，回甘生津非常快。,2015-09-18
1040,墩儿的,,8.0,"这款茶霸气足,体感强烈，入口苦软化快，好茶",2015-03-22
1040,田青青,,8.6,干茶条索清晰，汤内质丰富有苦回甘快，有涩但生津快，香气舒服，很不错的一款茶,2015-02-13
1040,田青青,,9.0,协调度好，生津回甘快!內质感好，有苦回甘好!是一款不错的茶,2015-02-13
1040,三思,,9.0,鲜活醇厚，很棒的普洱生茶~,2015-02-13
1296,marko,达人,8.8,喝完这茶，脑袋里冒出的第一个词是“酸果子香”。其实都不用喝，刚把开水冲进我那紫泥井栏的时候，这股“酸果子香”就从茶壶里喷薄而出，直击鼻腔。和之前喝过的新茶金斗相比，这款6年陈的味道已经明显出现了中期的转化，苦味稍有，但几乎感受不到涩味。然而金斗毕竟是金斗，它的饱满浓强和给人的口腔张力，无论是那个陈化阶段，都丝毫不能被掩盖。,2016-10-04
1296,yayaya,达人,9.0,原料好、工艺好、存放条件好，简直就是一个三好生。口感香气相当不错。,2015-12-16
1296,王大帅,,9.2,干茶清甜香气，茶汤金黄色，明亮度好，口感饱满丰富，有喉韵，回甘生津强烈持久，耐泡度高的一款生普茶。,2018-10-08
1296,秦牧,,9.0,都说八九年的算是中期茶，这个2010年金斗算是金斗中期茶了，非常值得一试。整体水平保留着中期 生茶的特点，没有异杂气味，花香熟香明显，口感带苦涩能够迅速化开，回味香甜，但是持久力略次于新茶。,2018-10-07
1296,九幽小侯爷,,8.8,作为一款2010年的生茶，存放八年后品饮，茶汤滋味较为醇厚，带一丝熟普的气息，一丝陈皮的蜜甜香。入口后滋味较为独特，后期时候泡的时间长能够体验到明显的苦感，能够迅速化开回味也好。,2018-10-02
1296,千山雪,,8.8,干茶有扎实的蜜甜香气，饱满！茶汤油润，滋味丰富，较为耐泡的一款斗记金斗茶样。,2018-10-01
1296,某翼,,9.6,转化的不错，苦涩基本已无，入口甜润有厚度，香气舒服，好茶。,2018-09-30
1296,撒旦法官,,10.0,茶汤接近深金黄色，亮度高。,2018-09-27
1296,乐康膏,,10.0,茶汤有一定苦和涩，满口生津不断。喉咙深处有明显清凉感,2018-09-27
1296,爱国1,,10.0,茶汤深橙黄色，明亮度高。茶汤稠,2018-09-27
1296,白大褂,,10.0,茶汤滋味浓爽，鲜活，协调性不错,2018-09-27
1296,阿萨德刚,,10.0,茶汤金黄色，明亮度高。汤迅速转油，闻起来就有深深的蜜甜，茶汤一入口，先是感受到高度的甜润感，继而是明显的鲜和清晰的苦，接着苦迅速消失不见,2018-09-27
1296,复古风,,10.0,茶汤一入口，先是感受到高度的甜润感，继而是明显的鲜和清晰的苦，接着苦迅速消失不见,2018-09-27
1296,变化,,10.0,茶汤深金黄色，明亮度高。香气以汤水中的混合的浓郁的蜜、果甜为主,2018-09-27
1296,骑虎不难下,,10.0,微微有涩停留，舌面和牙齿缝皆生津。之后从喉咙里返上来新鲜水果的香气,2018-09-27
1296,涤尘子,,8.7, 茶汤滋味浓爽，鲜活，协调性不错，斗记的用心之作！,2018-09-21
1296,茶是我老大,,9.2,好茶！斗记的用心之作！,2017-05-28
1296,茶是我老大,,9.2,综合起来 香气 汤感 协调性都不错,2017-05-18
1296,茶是我老大,,8.8,易武茶需要时间,2017-05-18
1296,分辨心,,8.8,汤纯，香好，回味好，但是无亮点,2016-10-19
1296,木秀于林,,8.2,外形条索紧致，带有金豪，滋味较为浓厚回甘，香气果香带蜜香,2015-10-26
1296,水瓶座Mikky,,9.3,金斗还是挺不错的一款茶，汤比较粘稠，入口饱满，回甘也挺强，香气比较丰满，不够没有细辨具体是什么样的香型，个人还是挺喜欢这款茶，耐泡性没实际测，个人习惯十泡左右，应该还是没有问题的。,2015-10-22
