学校,专业类别,专业名称,国家特色专业
河北轨道运输职业技术学院,测绘地理信息类(专),测绘地理信息技术,
河北轨道运输职业技术学院,土建施工类(专),建筑工程技术,
河北轨道运输职业技术学院,机械设计制造类(专),数控技术,
河北轨道运输职业技术学院,机电设备类(专),电梯工程技术,
河北轨道运输职业技术学院,自动化类(专),机电一体化技术,
河北轨道运输职业技术学院,自动化类(专),电气自动化技术,
河北轨道运输职业技术学院,自动化类(专),机电一体化技术（中外合作办学）,
河北轨道运输职业技术学院,轨道装备类(专),铁道机车车辆制造与维护,
河北轨道运输职业技术学院,铁道运输类(专),铁道交通运营管理,
河北轨道运输职业技术学院,铁道运输类(专),铁道信号自动控制,
河北轨道运输职业技术学院,铁道运输类(专),铁道机车,
河北轨道运输职业技术学院,铁道运输类(专),铁道供电技术,
河北轨道运输职业技术学院,铁道运输类(专),高速铁路客运乘务,
河北轨道运输职业技术学院,铁道运输类(专),铁道工程技术,
河北轨道运输职业技术学院,铁道运输类(专),铁道车辆,
河北轨道运输职业技术学院,铁道运输类(专),动车组检修技术,
河北轨道运输职业技术学院,铁道运输类(专),铁道机械化维修技术,
河北轨道运输职业技术学院,铁道运输类(专),铁道交通运营管理（铁道旅客运输）,
河北轨道运输职业技术学院,铁道运输类(专),高速铁路客运乘务（国际列车乘务）,
河北轨道运输职业技术学院,水上运输类(专),国际邮轮乘务管理,
河北轨道运输职业技术学院,城市轨道交通类(专),城市轨道交通通信信号技术,
河北轨道运输职业技术学院,城市轨道交通类(专),城市轨道交通运营管理,
河北轨道运输职业技术学院,城市轨道交通类(专),城市轨道交通车辆技术,
河北轨道运输职业技术学院,城市轨道交通类(专),城市轨道交通机电技术,
河北轨道运输职业技术学院,城市轨道交通类(专),城市轨道交通供配电技术,
河北轨道运输职业技术学院,通信类(专),电信服务与管理（铁路客户服务）,
河北轨道运输职业技术学院,财务会计类(专),会计,
河北轨道运输职业技术学院,物流类(专),铁路物流管理,
河北轨道运输职业技术学院,物流类(专),铁路物流管理（中外合作办学）,
厦门大学,哲学类(本),哲学,
厦门大学,经济学类(本),经济统计学,
厦门大学,经济学类(本),经济学,是
厦门大学,财政学类(本),财政学,是
厦门大学,财政学类(本),税收学,
厦门大学,金融学类(本),金融学,是
厦门大学,金融学类(本),金融工程,
厦门大学,金融学类(本),保险学,
厦门大学,金融学类(本),金融学（中外合作办学）,
厦门大学,经济与贸易类(本),国际经济与贸易,是
厦门大学,法学类(本),法学,是
厦门大学,政治学类(本),政治学与行政学,
厦门大学,政治学类(本),国际政治,
厦门大学,政治学类(本),外交学,
厦门大学,社会学类(本),人类学,
厦门大学,社会学类(本),社会工作,
厦门大学,社会学类(本),社会学,
厦门大学,教育学类(本),艺术教育,
厦门大学,中国语言文学类(本),汉语言文学,
厦门大学,中国语言文学类(本),汉语言,
厦门大学,外国语言文学类(本),英语,是
厦门大学,外国语言文学类(本),日语,
厦门大学,外国语言文学类(本),法语,
厦门大学,外国语言文学类(本),俄语,
厦门大学,外国语言文学类(本),德语,
厦门大学,外国语言文学类(本),西班牙语,
厦门大学,新闻传播学类(本),广告学,是
厦门大学,新闻传播学类(本),新闻学,
厦门大学,新闻传播学类(本),广播电视学,
厦门大学,新闻传播学类(本),传播学,
厦门大学,历史学类(本),历史学,是
厦门大学,历史学类(本),考古学,
厦门大学,数学类(本),数学与应用数学,是
厦门大学,数学类(本),信息与计算科学,
厦门大学,物理学类(本),物理学,是
厦门大学,化学类(本),化学,是
厦门大学,化学类(本),能源化学,
厦门大学,化学类(本),化学生物学,
厦门大学,天文学类(本),天文学,
厦门大学,海洋科学类(本),海洋科学,是
厦门大学,海洋科学类(本),海洋技术,
厦门大学,生物科学类(本),生物科学,是
厦门大学,生物科学类(本),生物技术,
厦门大学,生物科学类(本),生态学,
厦门大学,统计学类(本),统计学,是
厦门大学,机械类(本),机械设计制造及其自动化,
厦门大学,仪器类(本),测控技术与仪器,
厦门大学,材料类(本),材料科学与工程,是
厦门大学,能源动力类(本),新能源科学与工程,
厦门大学,电气类(本),电气工程及其自动化,
厦门大学,电子信息类(本),微电子科学与工程,
厦门大学,电子信息类(本),电子信息科学与技术,
厦门大学,电子信息类(本),通信工程,
厦门大学,电子信息类(本),电子信息工程,
厦门大学,电子信息类(本),集成电路设计与集成系统,
厦门大学,电子信息类(本),人工智能,
厦门大学,电子信息类(本),电磁场与无线技术,
厦门大学,自动化类(本),自动化,
厦门大学,计算机类(本),计算机科学与技术,
厦门大学,计算机类(本),网络空间安全,
厦门大学,计算机类(本),软件工程,
厦门大学,计算机类(本),数字媒体技术,
厦门大学,计算机类(本),数据科学与大数据技术,
厦门大学,土木类(本),土木工程,
厦门大学,化工与制药类(本),化学工程与工艺,
厦门大学,航空航天类(本),飞行器动力工程,
厦门大学,航空航天类(本),飞行器设计与工程,
厦门大学,环境科学与工程类(本),环境科学,
厦门大学,环境科学与工程类(本),环境生态工程,
厦门大学,建筑类(本),建筑学,
厦门大学,建筑类(本),城乡规划,
厦门大学,生物工程类(本),生物工程,
厦门大学,临床医学类(本),临床医学,
厦门大学,口腔医学类(本),口腔医学,
厦门大学,公共卫生与预防医学类(本),预防医学,
厦门大学,中医学类(本),中医学,
厦门大学,药学类(本),药学,
厦门大学,医学技术类(本),医学检验技术,
厦门大学,护理学类(本),护理学,
厦门大学,管理科学与工程类(本),管理科学,
厦门大学,管理科学与工程类(本),工程管理,
厦门大学,工商管理类(本),会计学,是
厦门大学,工商管理类(本),国际商务,
厦门大学,工商管理类(本),人力资源管理,
厦门大学,工商管理类(本),工商管理,
厦门大学,工商管理类(本),财务管理,
厦门大学,工商管理类(本),市场营销,
厦门大学,工商管理类(本),会计学（中外合作办学）,
厦门大学,公共管理类(本),行政管理,是
厦门大学,电子商务类(本),电子商务,
厦门大学,旅游管理类(本),旅游管理,
厦门大学,旅游管理类(本),酒店管理,
厦门大学,音乐与舞蹈学类(本),音乐学,
厦门大学,音乐与舞蹈学类(本),音乐表演,
厦门大学,音乐与舞蹈学类(本),音乐表演（管弦乐方向小提琴）,
厦门大学,音乐与舞蹈学类(本),音乐表演（管弦乐方向大提琴）,
厦门大学,音乐与舞蹈学类(本),音乐表演（管弦乐方向大管）,
厦门大学,音乐与舞蹈学类(本),舞蹈表演,
厦门大学,戏剧与影视学类(本),戏剧影视文学,
厦门大学,美术学类(本),绘画,
厦门大学,设计学类(本),视觉传达设计,
厦门大学,设计学类(本),环境设计,
厦门大学,设计学类(本),数字媒体艺术,
四川大学,哲学类(本),哲学,是
四川大学,经济学类(本),经济学,是
四川大学,经济学类(本),国民经济管理,
四川大学,财政学类(本),财政学,
四川大学,金融学类(本),金融工程,
四川大学,金融学类(本),金融学,
四川大学,经济与贸易类(本),国际经济与贸易,
四川大学,法学类(本),法学,
四川大学,政治学类(本),国际政治,
四川大学,社会学类(本),社会工作,
四川大学,马克思主义理论类(本),马克思主义理论,
四川大学,中国语言文学类(本),汉语言文学,是
四川大学,中国语言文学类(本),汉语国际教育,
四川大学,中国语言文学类(本),汉语言文学（基地班）,
四川大学,外国语言文学类(本),法语,
四川大学,外国语言文学类(本),俄语,
四川大学,外国语言文学类(本),日语,
四川大学,外国语言文学类(本),英语,是
四川大学,外国语言文学类(本),西班牙语,
四川大学,新闻传播学类(本),新闻学,是
四川大学,新闻传播学类(本),广告学,
四川大学,新闻传播学类(本),网络与新媒体,
四川大学,历史学类(本),文物与博物馆学,
四川大学,历史学类(本),考古学,
四川大学,历史学类(本),历史学（基地班）,
四川大学,历史学类(本),历史学,是
四川大学,数学类(本),数学与应用数学,是
四川大学,数学类(本),数学与应用数学（基地班）,
四川大学,数学类(本),信息与计算科学,
四川大学,物理学类(本),物理学（基地班）,
四川大学,物理学类(本),物理学,
四川大学,化学类(本),化学（基地班）,
四川大学,化学类(本),应用化学,
四川大学,化学类(本),化学,是
四川大学,生物科学类(本),生物科学,是
四川大学,生物科学类(本),生态学,
四川大学,统计学类(本),统计学,
四川大学,力学类(本),工程力学,
四川大学,机械类(本),机械设计制造及其自动化,是
四川大学,机械类(本),过程装备与控制工程,
四川大学,机械类(本),材料成型及控制工程,
四川大学,机械类(本),机械设计制造及其自动化（中外合作办学）,
四川大学,仪器类(本),测控技术与仪器,
四川大学,材料类(本),高分子材料与工程,是
四川大学,材料类(本),材料科学与工程（中外合作办学）,
四川大学,材料类(本),新能源材料与器件,是
四川大学,材料类(本),材料科学与工程,
四川大学,能源动力类(本),能源与动力工程,
四川大学,电气类(本),电气工程及其自动化,
四川大学,电气类(本),电气工程及其自动化（中外合作办学）,
四川大学,电子信息类(本),医学信息工程,是
四川大学,电子信息类(本),通信工程,
四川大学,电子信息类(本),光电信息科学与工程,
四川大学,电子信息类(本),电子信息工程,
四川大学,电子信息类(本),微电子科学与工程,
四川大学,电子信息类(本),人工智能,
四川大学,自动化类(本),自动化,
四川大学,计算机类(本),软件工程,
四川大学,计算机类(本),计算机科学与技术,是
四川大学,计算机类(本),网络空间安全,
四川大学,计算机类(本),物联网工程,
四川大学,土木类(本),土木工程,是
四川大学,土木类(本),城市地下空间工程,
四川大学,水利类(本),水利科学与工程,
四川大学,化工与制药类(本),制药工程,是
四川大学,化工与制药类(本),化学工程与工艺,
四川大学,化工与制药类(本),化学工程与工艺（互联化工交叉试验班）,
四川大学,轻工类(本),轻化工程,是
四川大学,航空航天类(本),航空航天工程,
四川大学,航空航天类(本),飞行器控制与信息工程,
四川大学,核工程类(本),核工程与核技术,是
四川大学,环境科学与工程类(本),环境工程,
四川大学,生物医学工程类(本),生物医学工程,
四川大学,食品科学与工程类(本),食品科学与工程,
四川大学,建筑类(本),建筑学,
四川大学,生物工程类(本),生物工程,
四川大学,生物工程类(本),生物工程（轻工生物）,
四川大学,基础医学类(本),基础医学,是
四川大学,临床医学类(本),临床医学（八年）,
四川大学,临床医学类(本),临床医学（五年）,
四川大学,口腔医学类(本),口腔医学（5+3一体化）,
四川大学,口腔医学类(本),口腔医学（八年）,
四川大学,口腔医学类(本),口腔医学（五年）,
四川大学,公共卫生与预防医学类(本),预防医学,
四川大学,公共卫生与预防医学类(本),食品卫生与营养学,
四川大学,药学类(本),药学,是
四川大学,药学类(本),临床药学,
四川大学,法医学类(本),法医学,是
四川大学,医学技术类(本),卫生检验与检疫,
四川大学,医学技术类(本),康复治疗学,
四川大学,医学技术类(本),眼视光学,
四川大学,医学技术类(本),口腔医学技术,
四川大学,医学技术类(本),医学影像技术,
四川大学,医学技术类(本),医学检验技术,
四川大学,护理学类(本),护理学,是
四川大学,管理科学与工程类(本),管理科学,
四川大学,工商管理类(本),财务管理,
四川大学,工商管理类(本),人力资源管理,
四川大学,工商管理类(本),市场营销,
四川大学,工商管理类(本),会计学（ACCA）,
四川大学,公共管理类(本),土地资源管理,
四川大学,公共管理类(本),劳动与社会保障,
四川大学,公共管理类(本),行政管理,
四川大学,图书情报与档案管理类(本),信息资源管理,
四川大学,图书情报与档案管理类(本),档案学,
四川大学,工业工程类(本),工业工程,
四川大学,工业工程类(本),工业工程（中外合作办学）,
四川大学,旅游管理类(本),旅游管理,
四川大学,旅游管理类(本),会展经济与管理,
四川大学,音乐与舞蹈学类(本),舞蹈表演,
四川大学,音乐与舞蹈学类(本),音乐表演（声乐）,
四川大学,戏剧与影视学类(本),广播电视编导,
四川大学,美术学类(本),绘画,
四川大学,美术学类(本),中国画,
四川大学,美术学类(本),书法学,
四川大学,美术学类(本),美术学（理论研究）,
四川大学,设计学类(本),环境设计,
四川大学,设计学类(本),视觉传达设计,
四川大学,设计学类(本),服装与服饰设计,
武汉大学,哲学类(本),哲学,是
武汉大学,哲学类(本),宗教学,
武汉大学,经济学类(本),经济学,是
武汉大学,财政学类(本),财政学,
武汉大学,金融学类(本),金融学,
武汉大学,金融学类(本),金融工程,
武汉大学,金融学类(本),保险学,
