学校,省份,城市,地址,水平层次,办学类别,办学类型,985,211,双一流,归属,开设专业链接
河北轨道运输职业技术学院,河北,石家庄市,"河北省石家庄市经济技术开发区赣江路9号,石家庄市宁安路189号",专科（高职）,理工类,公办,否,否,,河北省,https://gkcx.eol.cn/school/2858/professional
厦门大学,福建,厦门市,福建省厦门市思明区思明南路422号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/102/professional
四川大学,四川,成都市,四川省成都市一环路南一段24号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/99/professional
武汉大学,湖北,武汉市,湖北省武汉市武昌区八一路299号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/42/professional
北京大学,北京,北京市,北京市海淀区颐和园路5号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/31/professional
清华大学,北京,北京市,北京市海淀区清华园1号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/140/professional
中山大学,广东,广州市,广东省广州市新港西路135号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/104/professional
中南大学,湖南,长沙市,湖南省长沙市麓山南路932号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/123/professional
南京大学,江苏,南京市,仙林校区地址：江苏省南京市仙林大道163号;鼓楼校区地址：江苏省南京市汉口路22号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/111/professional
西南大学,重庆,重庆市,重庆市北碚区天生路2号,普通本科,综合类,公办,否,是,是,教育部,https://gkcx.eol.cn/school/934/professional
电子科技大学,四川,成都市,成都市高新区（西区）西源大道2006号,普通本科,理工类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/661/professional
浙江大学,浙江,杭州市,浙江省杭州市西湖区余杭塘路388号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/114/professional
山东大学,山东,济南市,山东省济南市山大南路27号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/126/professional
湖南大学,湖南,长沙市,湖南省长沙市岳麓区麓山南路麓山门,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/44/professional
天津大学,天津,天津市,天津市南开区卫津路92号,普通本科,理工类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/60/professional
上海交通大学,上海,上海市,上海市东川路800号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/125/professional
重庆大学,重庆,重庆市,重庆市沙坪坝区沙正街174号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/119/professional
北京邮电大学,北京,北京市,北京市西土城路10号,普通本科,理工类,公办,否,是,是,教育部,https://gkcx.eol.cn/school/48/professional
郑州大学,河南,郑州市,郑州市科学大道100号,普通本科,综合类,公办,否,是,是,河南省,https://gkcx.eol.cn/school/62/professional
华中科技大学,湖北,武汉市,湖北省武汉市洪山区珞喻路1037号;湖北省武汉市汉口航空路13号,普通本科,理工类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/127/professional
同济大学,上海,上海市,上海市四平路1239号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/73/professional
青岛大学,山东,青岛市,山东省青岛市宁夏路308号,普通本科,综合类,公办,否,否,,山东省,https://gkcx.eol.cn/school/499/professional
吉林大学,吉林,长春市,前卫南区：长春市前进大街2699号;前卫北区：长春市解放大路123号,普通本科,综合类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/122/professional
华南理工大学,广东,广州市,"广东省广州市天河区五山路381号（五山校区）,广州市番禺区广州大学城外环东路382号（大学城校区）,广州市番禺区兴业大道东777号（广州国际校区）",普通本科,理工类,公办,是,是,是,教育部,https://gkcx.eol.cn/school/105/professional
苏州大学,江苏,苏州市,天赐庄校区：江苏省苏州市十梓街1号;独墅湖校区：苏州工业园区仁爱路199号,普通本科,综合类,公办,否,是,是,江苏省,https://gkcx.eol.cn/school/118/professional
