sentence1,sentence2,label
话说有时候我就有点难过,有时候我就有点难过,1
我居然敢撩你,你居然敢撩我,0
毛泽东字什么,顶个诸葛亮,0
陈情令好不好看,陈情令好看不好看,1
两分钟计时,倒计时五秒钟,0
在干嘛呢你,现在在干嘛呀,0
每一天都是爱你的一天,今天也是爱你的一天,1
一边玩去吧你,一边玩去吧,1
你会玩什么游戏,还有什么游戏,0
今天天气真不错呀,我今天气坏了,0
你咋那么能聊,你这么会聊的吗,1
更换屏幕国内相同资费,质保内手机屏幕更换价格,0
忙了一天我要睡了,我打瞌睡了,1
那你想干啥,那你想干什么,1
定个两点半闹钟,帮我调明天早上六点半的闹钟,0
猜猜今天我去哪里了,今天我去了哪里,1
那我考考你,那我考你一下,1
我在想你呢,我想你了,1
我数一下星星,只看见闪闪的星星蓝蓝的天会吗,0
你会讲什么方言,来几句方言听听,1
一定要爱你,我确定要爱你,1
你给我回去,让我回去,0
我不想用这两个应用,我不喜欢这两个应用,1
感冒不能吃什么,怀孕能吃黄豆吗,0
a5屏幕组件价格,a5的屏幕介绍,0
你这么会撩的,你这么会撩吗,1
我咋这么恶心了,我太恶心了,1
你咋那么不要脸呢,真不要脸啊你,1
当我男朋友啦,我当你男朋友行不行,0
A8屏多少钱,屏幕多少钱,0
你确定你是机器人,那你就是机器人,0
你怎么样不了解,不知道你怎么样,1
四十分米等于多少米,两千克等于多少斤,0
为什么人活着这么累,为什么要活着好累,1
你们都叫我大哥就行,叫我大哥,1
麻烦你了,我又麻烦你了,1
a72充电插口,A7n充电接口,0
我帮你充电,难道我不能帮你充电吗,1
breeno语音如何升级版本,Reno4se支持语音换新吗,0
谁是你的创始人,是谁创造的你,1
全是缺点你,你一点儿都不好,1
你真的不是我女朋友吗,你可不可以做我女朋友呀,0
怎么样才能把你呼唤出来,我该怎么呼唤你出来,1
等我回来,你等我回来吧,1
小布帮我查个快递,我要查快递,1
我让你夸夸我,你在夸我,1
你告诉我你是谁,你告诉我是的名字,0
Reno4的屏幕,Reno4屏幕价格,0
你老公贵庚,你老公今年多大,1
poopa73,OPPOA32,0
你有没有眼睛,你有眼睛是一定的事吧,0
想听歌你来唱一首吧,唱个歌来听一下,1
周星驰长得帅吗,周星驰是不是很帅,1
喝牛奶有什么好处,怀孕能吃通菜吗,0
我的世界啊,我的世界,1
还真的小红帽,今年收的红包也太少了吧,0
今天吃什么饭好呢,你记得吃啥饭吧,0
自拍全景的使用方法,手机全景拍照的使用方法,1
你是今天生日吗,射手座的生日,0
这么安静的,那你就安静把,0
再唱首歌,再唱首歌来听,1
你什么样,他也什么样呢,0
怎样被手机锁定,手机被偷怎样锁屏,0
重新登录QQ,打开第一个QQ,0
如果能这样就好了,如果这样唉,0
我们难道不能开始吗,我们开始吧,1
我不和你说了,我都不知道你说的什么,0
我听你的声音就觉得你是女生,听你声音好像是女的,1
你是不是很有钱,你有钱就没事,0
在京东上买的,泰国买的，能在中国升级吗,0
生而为人我们哥错了,生而为人我错了,0
我可不可以叫你老婆,我叫你老婆好不好,1
poopa73,OPPOA32,0
你能告诉我你有什么游戏吗,你有什么小游戏吗,1
你不会什么呀,要不然你也不会啊,0
讲个最好笑的笑话,你能讲一个笑话吗,1
谢谢你晚安,拜拜晚安啦谢谢了,0
你这个小欧,你是个笨蛋小欧,0
如果你累的话可以告诉我,累不累呀,1
如何录音,视频如何录音,0
你知道个屁,你放个屁,0
k7是否支持otg,k7支持otg,0
手机屏幕黑屏是什么原因,手机通话时黑屏,0
你有哥哥姐姐弟弟妹妹吗,你有兄弟姐妹吗,1
A1耳机接口,a1耳机接口介绍,0
你真的太好了，谢谢你,你辛苦了你辛苦了,0
我令你感到讨厌吗,你是不喜欢我吗,1
你不会忘记我叫什么了吧,你忘记我叫什么了吗,1
今天我们去唱歌,我们去唱歌吧,1
哇偶你们的阿姨就是机器人,哇偶你就是机器人,0
手机的安卓版本是多少,本手机的内存是多少？,0
是的现在跟我讲,现在跟我讲,1
喜欢谁呀,谁会被你喜欢啊,1
你有什么做不到的,这些事情你都能做的到,0
怎么办呀我的老婆不理我,老婆不理我,1
我怎么这么想砸了你呢,我想把你给砸了,1
你是谁的小心肝,你是不是我的小心肝,0
被你气的吐血了我真是,我是要被你气得吐血了,1
你能告诉我你有什么游戏吗,你有什么小游戏吗,1
他以为我跟你熟就不跟你翻脸,跟你不熟,0
reno4pro标配,reno4pro,0
又不理我了,又不理我是为什么,1
还有什么事吗,没事儿啊,0
OPPOReno十倍变焦版什么处理器,OPPO十倍变焦什么处理器,0
我忘记了隐私密码,隐私密码忘记了,1
你就一直想去吧,那你慢慢想吧,1
说出你的名字,嗯你叫啥,1
我们难道不能开始吗,我们开始吧,1
你都认识谁,你能说出你认识的人的名字吗,1
开机状态充电的时候会有什么提示,充电的时候为什么不显示百分比,0
我现在要不要睡觉,要不然我现在睡觉吧,1
进入电话本,查找电话号码,0
人人刷来访,怎么刷人人人气,0
我是很认真打麻将的,我要打麻将,0
我想看电视,我去看电视,1
大家都是可以试试的,可以试试,1
你不是说你很聪明吗,你聪明吗,1
我找到你啦,你可算让我找到了,1
四十分米等于多少米,两千克等于多少斤,0
我的小欧在哪里,小欧在哪里,1
你真的好厉害呀,你实在是厉害了,1
我是你兄弟,我是你的弟,0
啥都不会,啥都不会因为你,0
那你也睡吧,你也是要去睡觉的,1
王俊凯的girlfriend叫什么,王俊凯的女朋友叫什么名字,1
换手机了,想换手机了,0
蒲河有什么玩的,有玩的好的,0
今天是什么节日,今天可能什么节日,1
狗怎么叫,我问你会不会狗叫,0
难道你需要吗,你需要什么吗,0
你会去学校吗,你会上学吗,1
你这是干什么呀,你这是干啥呀,1
手机系统不更新怎么办,手机系统更新还原，怎么处理,0
账号密码多少,帐号密码多少,1
